edge_id	executable	legacy_source	kind	legacy_targets	legacy_continuation	operation	native_function	native_test_or_fixture	status	prerequisites
edge-0060	local.exe	LOCAL:04B8	conditional	LOCAL:0448	LOCAL:04BA	768e jna 0x448	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0061	local.exe	LOCAL:04E5	conditional	LOCAL:04EA	LOCAL:04E7	7503 jnz 0x4ea	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0062	local.exe	LOCAL:04E7	jump	LOCAL:0505		e91b00 jmp 0x505	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0063	local.exe	LOCAL:0502	jump	LOCAL:050E		e90900 jmp 0x50e	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0064	local.exe	LOCAL:05FE	process-terminal			3E:01 END	src/main_local.c::main (limited native owner only)	tests/test_utilities.c::test_local (limited smoke only)	explicitly deferred	user-authorized deferral: exact LOCAL.EXE console/menu/DORINFO/SHELL/local-framebuffer compatibility is not required; retain for optional future OpenDoors local-personality work
edge-0065	portname.exe	PORTNAME:0030	nonreturning-loader-call	second-stage:01D5:0000,PORTNAME:003A		9a0000d501 call 0x1d5:0x0	src/main_portname.c::main	tests/test_utilities.c::test_portname	candidate	native process entry and exact application controller are represented; add BRUN startup framebuffer/cursor and physical loader state
edge-0066	portname.exe	PORTNAME:004C	native-call	PORTNAME:02B5	PORTNAME:004F	e86602 call 0x2b5	src/main_portname.c::main; src/yt_file.c::{yt_database_open,yt_database_open_observed,yt_database_random_close}	tests/test_data.c::{test_database_random_open,test_database_random_close}; tests/test_utilities.c::test_portname	candidate	existing/missing update-or-create paths, exact mode-4 retry/create/reopen/device results, no-I/O missing CLOSE-1 and zero-byte result are represented; add raw allocation/path/FIELD/file-number registry and remaining caller error-router/runtime failures
edge-0067	portname.exe	PORTNAME:004F	native-call	PORTNAME:03A0	PORTNAME:0052	e84e03 call 0x3a0	src/main_portname.c::main; src/yt_file.c::yt_database_random_lof; src/yt_config.c::yt_config_load	tests/test_data.c::test_database_random_lof; tests/test_utilities.c::test_portname	candidate	exact zero/nonzero validation call and configuration GET return use the live file-1 LOF transaction; all current/end/restore DOS bytes and device no-seek results are represented by the shared component, with caller-specific fatal routing and raw FIELD/CVS still open
edge-0068	portname.exe	PORTNAME:0102	conditional	PORTNAME:0107	PORTNAME:0104	7403 jz 0x107	src/yt_portname.c::{yt_portname_parse_confirmation,yt_portname_confirm}; src/main_portname.c::main	tests/test_utilities.c::{test_portname_controller,test_portname}	candidate	parsed empty and nonempty responses are represented; add complete raw editor/frame/Break/EOF state
edge-0069	portname.exe	PORTNAME:0104	jump	PORTNAME:010C		e90500 jmp 0x10c	src/yt_portname.c::yt_portname_confirm; src/main_portname.c::main	tests/test_utilities.c::{test_portname_controller,test_portname}	candidate	nonempty response reaches first-byte destructive-uppercase comparison; add raw LEFT$/ASC/CHR$ allocation failures
edge-0070	portname.exe	PORTNAME:0107	process-terminal			3E:01 END	src/main_portname.c::main	tests/test_utilities.c::test_portname	candidate	exact blank transcript and implicit process file cleanup are represented; add physical framebuffer/cursor/file-registry END cleanup
edge-0071	portname.exe	PORTNAME:013F	conditional	PORTNAME:0144	PORTNAME:0141	7503 jnz 0x144	src/yt_portname.c::yt_portname_confirm; src/main_portname.c::main	tests/test_utilities.c::{test_portname_controller,test_portname}	candidate	first-byte Y/y acceptance and non-Y rejection are represented after BASIC parsing
edge-0072	portname.exe	PORTNAME:0141	jump	PORTNAME:0172		e92e00 jmp 0x172	src/main_portname.c::main; src/yt_file.c::yt_database_random_close	tests/test_data.c::test_database_random_close; tests/test_utilities.c::test_portname	candidate	accepted response enters the checked close/redundant-close/reopen mutation path with exact logical prefix; shared fixtures pin success and the complete regular-random first-error/retry/cleanup domain, with caller-specific fatal output still open
edge-0073	portname.exe	PORTNAME:016D	process-terminal			3E:01 END	src/main_portname.c::main; src/yt_portname.c::yt_portname_compose_output	tests/test_utilities.c::test_portname	candidate	exact abort blank/row, explicit close and normal terminal disposition are represented; add physical close/output/END failures
edge-0074	portname.exe	PORTNAME:017A	native-call	PORTNAME:02B5	PORTNAME:017D	e83801 call 0x2b5	src/main_portname.c::main; src/yt_file.c::{yt_database_open,yt_database_open_observed,yt_database_random_close}	tests/test_data.c::{test_database_random_open,test_database_random_close}; tests/test_utilities.c::test_portname	candidate	checked controller close and no-I/O redundant helper close precede the exact shared lowercase mode-4 OPEN machine and rename output; shared fixtures pin every regular-random close error/retry result; add raw allocation/path/FIELD/file-number registry and caller-specific error-router prefixes
edge-0075	portname.exe	PORTNAME:01C3	jump	PORTNAME:0268		e9a200 jmp 0x268	src/yt_portname.c::yt_portname_rename; src/yt_file.c::yt_database_random_close	tests/test_utilities.c::test_portname_controller; tests/test_data.c::test_database_random_close	candidate	fractional bound below one skips all rows/accesses/draws and reaches exact completion, checked regular-random close and PLAY; close-failure retains the complete emitted prefix and suppresses PLAY, while public CLOSE_NO_ARGS registry/fixed-console behavior remains open
edge-0076	portname.exe	PORTNAME:01D1	conditional	PORTNAME:01D6	PORTNAME:01D3	7403 jz 0x1d6	src/yt_portname.c::yt_portname_rename	tests/test_utilities.c::test_portname_controller	candidate	exact logical-one Earth arm and later generated-name arm are represented
edge-0077	portname.exe	PORTNAME:01D3	jump	PORTNAME:01E4		e90e00 jmp 0x1e4	src/yt_portname.c::yt_portname_rename	tests/test_utilities.c::test_portname_controller	candidate	non-Earth iterations enter the shared exact generator with retained draw count
edge-0078	portname.exe	PORTNAME:01E1	jump	PORTNAME:01E7		e90300 jmp 0x1e7	src/yt_portname.c::yt_portname_rename	tests/test_utilities.c::test_portname_controller	candidate	literal Earth joins generated names at exact numeric progress formatting before GET
edge-0079	portname.exe	PORTNAME:01E4	native-call	PORTNAME:0442	PORTNAME:01E7	e85b02 call 0x442	src/yt_portname.c::yt_portname_rename; src/yt_init.c::yt_generate_port_name	tests/test_utilities.c::{test_portname_controller,test_port_name_generator}	candidate	generator call/return, provider draw order and row-before-GET prefix are represented; add provider failure at every draw
edge-0080	portname.exe	PORTNAME:027A	conditional	PORTNAME:027F	PORTNAME:027C	7703 ja 0x27f	src/yt_portname.c::yt_portname_rename	tests/test_utilities.c::test_portname_controller	candidate	zero, fractional and three-iteration bounds pin exit polarity, raw overlays and exact completion
edge-0081	portname.exe	PORTNAME:027C	jump	PORTNAME:01C6		e947ff jmp 0x1c6	src/yt_portname.c::yt_portname_rename; src/yt_file.c::{yt_database_read,yt_database_random_get}	tests/test_utilities.c::test_portname_controller; tests/test_data.c::test_files	candidate	SINGLE step/back-edge and next iteration are represented with exact row/GET/PUT order; a missing final physical record takes successful zero-filled GET, overlay, creating PUT and ordinary completion
edge-0082	portname.exe	PORTNAME:02B0	process-terminal			3E:01 END	src/yt_portname.c::yt_portname_rename; src/main_portname.c::main; src/yt_file.c::yt_database_random_close	tests/test_data.c::test_database_random_close; tests/test_utilities.c::{test_portname_controller,test_portname}	candidate	exact success row precedes checked regular-random close, retained logical PLAY no-op and normal terminal disposition; a close failure preserves all success bytes and prevents PLAY; add public CLOSE_NO_ARGS registry/fixed-console state and physical PLAY/END framebuffer cleanup/failures
