component	audience	legacy_site_count	analysis_status	analysis_scope	analysis_evidence	native_function	native_test_or_fixture	status	prerequisites
common-fatal-death-cycle-output	player	0	exact_component_oracle	YT:[06C4,0739): exact common fatal-message cycle through the direct fatal row, current-player reload, selector-3 music, forced self-death, five-second key/time wait, and confirmed normal-exit composition, including ordered durable state and the eight shipped caller seams	docs/runtime/common-fatal-death-cycle-output.md; tools/ytcommon_fatal_cycle_output.py; tests/test_ytcommon_fatal_cycle_output.py; analysis/disassembly/ytcommon-fatal-death-cycle-output.static.txt	src/yt_session.c::{common_fatal_self,session_02db,kill_player,session_wait,yt_session_run,quit_session}	tests/test_presentation.c::test_common_fatal_notice; tests/test_input_model.c::test_timed_wait; tests/test_sound.c	candidate	exact successful fatal-row bytes/state and centralized reload/sound/self-death/wait/unprompted-exit order represented for deployed-combat and mine caller families; add one deterministic full native state/effect/exit fixture, all partial failures, pager/input variants, and the other six shipped caller joins
direct-player-attack-output	player	19	exact_component_oracle	YT:[292A,2E80) plus YT-SUB:[250B,255B): exact direct player-target scan, confirmation/editor admission, reserve commit, pre-tested MBF attrition, raw-alias casualty radio, stale-reserve result rows, shield spill, ordered FIELD/file effects, RNG, pager/ANSI state, failures, and terminal joins	docs/runtime/direct-player-attack-output.md; docs/gameplay/player-combat.md; docs/gameplay/main-commands.md; tools/ytdirect_attack_output.py; tests/test_ytdirect_attack_output.py; analysis/disassembly/ytdirect-attack-output.static.txt	src/yt_session.c::{command_attack_player,attack_player,combat_attrition,fighter_shield_spill,reload_player,session_0317,session_031f,session_036f,session_02db,session_02fc,session_a8d2,session_sound,radio_append_bytes}; src/yt_game.c::{yt_direct_attack_team_row,yt_direct_attack_candidate_prompt,yt_direct_attack_commitment_prompt,yt_direct_attack_too_many_row,yt_direct_attack_result_rows,yt_direct_attack_radio_text,yt_direct_attack_fighter_overlay,yt_direct_attack_shield_overlay,yt_fighter_shield_spill_step,yt_fighter_shield_spill_rows}	tests/test_score.c::{check_direct_attack_radio_model,check_hostile_menu_front}; tests/test_presentation.c::test_direct_attack_presentation; tests/test_input_model.c::{test_numeric_response,test_yes_no_candidate}; upstream tests/test_ytdirect_attack_output.py (29 cases)	candidate	exact title/gates, binary-safe target/team/prompt rows, DOUBLE commitment and stale result spelling, MBF64-low-half casualty radio, reserve-before-sound persistence, fresh read/overlay order, shield spill and canonical bounded body stream are represented; add complete injected independent selector/combat/post-radio/casualty/shield raw FIELD/cache/RNG/radio transaction, all alternate streams, ANSI/local endpoints and every failure prefix
direct-fighter-kill-output	player	2	exact_component_oracle	YT:[2E80,2F83): exact survivor/kill gate and ordered sound -> raw player-death -> raw salvage -> full-original-mine deployment -> paged attention/news -> unconditional raw sector-mine composition, including caller FIELD/news/RNG state, literal bytes, failure prefixes, and terminal handoffs	docs/runtime/direct-fighter-kill-output.md; docs/runtime/player-death-output.md; docs/runtime/ship-salvage-output.md; docs/runtime/sector-mine-output.md; tools/ytdirect_fighter_kill_output.py; tests/test_ytdirect_fighter_kill_output.py; analysis/disassembly/ytdirect-fighter-kill-output.static.txt	src/yt_session.c::{attack_player,kill_player,salvage_player,mine_encounter,common_fatal_self,reload_player,session_sound,session_02db,append_news_bytes}; src/yt_game.c::{yt_direct_fighter_mine_warning,yt_sector_mine_sector_overlay}	tests/test_score.c::check_direct_fighter_kill_model; tests/test_presentation.c::test_direct_fighter_kill_warning_presentation; upstream tests/test_ytdirect_fighter_kill_output.py (20 cases)	candidate	exact survivor gate and kill-arm ordering, fresh binary-safe victim snapshot, strict saved-mine gate, full-value raw sector deployment, exact 48-byte plain paged warning, same-byte news, unconditional mine handoff and both terminal dispositions are represented; add one complete native raw death/salvage/mine transaction, exact shared-child transcripts, ANSI/local/pager/carrier variants and every dependency/physical failure prefix
direct-fighter-fatal-cycle-output	player	0	exact_component_oracle	exact full YT:[2E80,2F83) direct-fighter kill-tail composition, including the post-mine destroyed-flag test at YT:2F70 and YT:2F7D -> YT:06C4 handoff, through the complete common fatal/death/wait/normal-exit cycle, preserving ordered child output, FIELD, persistent-state, pager, sound, wait, and terminal effects	docs/runtime/direct-fighter-fatal-cycle-output.md; tools/ytdirect_fatal_cycle_output.py; tests/test_ytdirect_fatal_cycle_output.py; analysis/disassembly/ytdirect-fatal-cycle-output.static.txt	src/yt_session.c::{attack_player,mine_encounter,common_fatal_self,kill_player,session_wait,yt_session_run,quit_session,show_ship,session_02db,session_sound}; src/yt_score.c::yt_score_generate_progress	tests/test_presentation.c::{test_sector_mine_presentation,test_direct_fighter_kill_warning_presentation,test_common_fatal_notice,test_normal_exit_tail_presentation}; tests/test_input_model.c::test_timed_wait; upstream tests/test_ytdirect_fatal_cycle_output.py (11 cases)	candidate	exact zero-effect destroyed dispatch, inherited-background fatal row/sound splice, self-death wait ownership and no-confirmation normal-exit route are connected; add one complete native injected 1597/1900-byte raw transaction, 133-event local tape, full Info/scoreboard/death persistence and all lazy/failure-prefix fixtures
deployed-fighter-attack-bribe-output	player	38	exact_component_oracle	YT:[0B20,127D) plus YT:[12C0,158A): exact Attack/Bribe admission, post-tested attrition, one-shot surrender, casualty/reward/news rows, sticky Mercenary latch, strict three-draw bribe, ANSI/pager/editor state, RNG order, semantic FIELD effects, failure prefixes, and child/re-entry seams; the embedded YT:[127D,1286) Quit wrapper is joined by the separate hostile-quit cycle while YT:[1286,12C0) retains main-shell helper ownership	docs/runtime/deployed-fighter-attack-bribe-output.md; docs/gameplay/player-combat.md; tools/ytdeployed_fighter_output.py; tools/ytcombat.py; tests/test_ytdeployed_fighter_output.py; analysis/disassembly/ytdeployed-fighter-output.static.txt; analysis/disassembly/ytcombat.static.txt	src/yt_session.c::{attack_deployed,attack_deployed_committed,bribe_deployed,bribe_forced_attack,fighter_shield_spill,sector_entry,reload_player,session_a8d2,session_0317,session_031f,session_036f,session_02db,session_02fc,session_present_text,session_sound,clearance,common_fatal_self}; src/yt_game.c::{yt_hostile_attack_admit,yt_hostile_attack_quantum,yt_hostile_attack_loses_attacker,yt_hostile_surrender_route,yt_fighter_shield_spill_step,yt_fighter_shield_spill_rows,yt_hostile_defeated_row,yt_deployed_attack_player_overlay,yt_deployed_attack_sector_overlay,yt_xannor_attack_bonus,yt_xannor_attack_reward_rows,yt_bribe_ordinary_forces,yt_bribe_mercenary_forces,yt_bribe_offer_threshold,yt_bribe_offer_accepted,yt_bribe_forced_admit,yt_bribe_sector_overlay,yt_bribe_player_overlay}; src/qb.c::{qb_mbf32_truth,qb_mbf32_encode,qb_mbf32_decode}; src/qb_format.c::{qb_val,qb_str_single,qb_str_double}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::{test_hostile_attack_admission_presentation,test_deployed_fighter_surrender_presentation,test_deployed_fighter_faction_presentation,test_shield_spill_presentation,test_hostile_bribe_presentation}; tests/test_input_model.c::{test_numeric_response,test_yes_no_candidate}; tests/test_sound.c	candidate	exact admission, post-tested attrition, one-shot owner routing, accepted/faction surrender bytes, raw player-before-sector combat overlays, Xannor reward rows, unconditional late draw, raw-exponent planet truth, three-draw Bribe predicates, sector-before-player accepted overlays, plain/ANSI/local presentation and return adapters are represented; add one injected full native WORLD/FIELD/RNG/news/failure transcript for each alternate child and physical endpoint
shared-shield-spill-output	player	2	exact_component_oracle	YT-SUB:[9C6B,9D3D): exact pre-tested fighter/shield spill arithmetic and RND polarity plus both unconditional direct result rows, ANSI/local endpoint state, and caller return	docs/runtime/deployed-fighter-attack-bribe-output.md; docs/gameplay/player-combat.md; tools/ytdeployed_fighter_output.py; tools/ytcombat.py; tests/test_ytdeployed_fighter_output.py; tests/test_ytcombat.py; analysis/disassembly/ytdeployed-fighter-output.static.txt; analysis/disassembly/ytcombat.static.txt	src/yt_game.c::{yt_fighter_shield_spill_step,yt_fighter_shield_spill_rows}; src/yt_session.c::{fighter_shield_spill,attack_deployed_committed,session_present_text}	tests/test_score.c::check_hostile_menu_front; tests/test_presentation.c::test_shield_spill_presentation	candidate	exact reducer, formatting, direct ANSI/local endpoint and deployed-fighter caller are represented; connect direct-player Attack and add injected-RNG/full-world/failure/physical-output fixtures
player-missile-counterlaunch-output	player	6	exact_component_oracle	YT-SUB:[9D3D,9FBE): exact latch gates, retained count scratch and fallback RNG, raw context/cloak swap, target debit, direct/news bytes, typed cruise-child handoff, conditional restoration, and final four-second wait	docs/runtime/missile-counterlaunch-output.md; docs/gameplay/player-combat.md; tools/ytcounterlaunch_output.py; tools/ytcounterlaunch_world.py; tests/test_ytcounterlaunch_output.py; tests/test_ytcounterlaunch_world.py; analysis/disassembly/ytcounterlaunch-output.static.txt	src/yt_game.c::{yt_counterlaunch_run,yt_counterlaunch_rows}; src/yt_session.c::{launch_player_counterattack,session_counterlaunch_present,session_counterlaunch_news,session_counterlaunch_projectile}	tests/test_score.c::check_counterlaunch_model; tests/test_presentation.c::test_counterlaunch_presentation	candidate	exact blank/bold/news bytes and their PUT-before-output ordering are represented inside the full two-GET/by-reference child/restoration transaction with every staged failure prefix; add binary dynamic child identity, physical framebuffer/news partials and complete fatal caller join
xannor-retaliation-output	player	4	exact_component_oracle	YT-SUB:[9956,9B47): exact score/provoker and Headquarters gates, raw TIMER reseeds and four-draw order, random-target override, raw Xannor context/cloak swap, direct bytes, live by-reference Headquarters origin, child handoff, restoration, final GET/wait, and conditional latch clear	docs/runtime/xannor-retaliation-output.md; docs/gameplay/player-combat.md; tools/ytxannor_retaliation_output.py; tests/test_ytxannor_retaliation_output.py; analysis/disassembly/ytxannor-retaliation-output.static.txt	src/yt_session.c::{launch_xannor_retaliation,session_nested_integer,session_random_integer,launch_projectile,reload_player,session_wait,session_present_text}; src/qb.c::qb_mbf32_truth	tests/test_presentation.c::test_xannor_retaliation_presentation; tests/test_score.c::check_projectile_parent_model; tests/test_input_model.c::test_timed_wait	candidate	exact score/provoker and Headquarters gates, three count draws before blank, actor swap before the fourth destination draw, fractional provoker override, plain/ANSI blank-plus-bold row, normal-child-only restoration, raw killed-by truth and four-second wait are represented; add complete injected four-draw/raw WORLD/FIELD/cache/by-reference child/restoration/latch fixture, authorized CSPRNG provider errors, every early/failure prefix and physical endpoint
team-personal-radio-audit-output	player	16	exact_component_oracle	YT-SUB2:[17F0,194B): exact join/quit/invalid-password and stale-message construction, DATE$/TIME$ order, team-loader cache/FIELD state, four-slot CINT/numeric-self predicate, recipient-order YTRMSG records, and bounded writer failures	docs/runtime/team-radio-audit-output.md; docs/gameplay/teams.md; docs/file-formats/YTRMSG.md; tools/ytteam_radio_audit_output.py; tests/test_ytteam_radio_audit_output.py; analysis/disassembly/ytteam-radio-audit-output.static.txt	src/yt_session.c::team_audit	(missing exact native component fixture)	candidate	add exact deterministic native component fixture, state/effect, caller-edge and failure-prefix fixtures
shared-ship-salvage-output	player	17	exact_component_oracle	YT-SUB:[2DDD,3569): exact valid-killer gate, direct and newspaper rows, six initial and requested-cargo RNG draws, timed waits, ordered FIELD GET/PUT persistence, endpoint state, and bounded failure prefixes	docs/runtime/ship-salvage-output.md; tools/ytsalvage_output.py; tools/ytsalvage_world.py; tests/test_ytsalvage_output.py; tests/test_ytsalvage_world.py; analysis/static/ytsalvage-output.txt	src/yt_session.c::salvage_player	(missing exact native component fixture)	candidate	add exact deterministic native component fixture, state/effect, caller-edge and failure-prefix fixtures
ordinary-port-docking-controller-output	player	6	exact_component_oracle	YT:[660D,67CC): exact shared docking controller, no-turn and no-port exits, Earth handoff, ordinary updater/report and signed-factor trade order, no-tradable-goods notice, final fresh credits/holds row, endpoint state, and failure boundaries	docs/runtime/port-docking-output.md; tools/ytdock_output.py; tests/test_ytdock_output.py; analysis/disassembly/ytdock-output.static.txt	src/yt_session.c::{planet_menu,command_trade,fresh_no_turn_gate,finalize_action,port_update,port_report,trade_commodity,earth_store,reload_player,session_present_text,session_02fc,session_031f,session_02db,session_0317}; src/yt_game.c::{yt_port_link_missing,yt_port_trade_schedule,yt_planet_menu_selector_position}	tests/test_presentation.c::{test_port_docking_controller_presentation,test_planet_port_no_port_cycle_presentation}; tests/test_score.c::check_hostile_menu_front	candidate	canonical plain/ANSI no-port, ordinary docking/turn concatenation, refusal/fresh-status partitions, exact-zero gate and signed scheduling are pinned; the planet predecessor exact-zero no-port path composes exact 223/179-byte ANSI/plain cycles with four partitions, 11 local rows, inherited-cache-sensitive ANSI, complete terminal state, no debit and no RNG; add complete raw store/cache/child composition, nested planet caller, terminal endpoints and every failure prefix
shared-output-primitives	player	96	exact_component_oracle	line/raw routing, color/ANSI builder, alignment, centering, music, time display, low-time warning, and attention line	docs/runtime/presentation-helpers.md; tools/ytpresentation.py; tests/test_ytpresentation.py	src/yt_presentation.c; src/yt_sound.c; src/yt_output.c	tests/test_presentation.c; tests/test_sound.c	candidate	all non-pager logical helpers and ordered physical replay mapped, including timer tape/cursor/color and BEEP; pager is separately mapped as a candidate; prove physical failures/framebuffer and all callers
shared-name-and-input-normalization	player	4	exact_component_oracle	YT-SUB:[1866,1A95) shared name/alias trim, space collapse, ASCII mixed-case and apostrophe exception; YT-SUB:[1D99,1E17) whole-string compatibility uppercase used by shared editors	docs/file-formats/YTNAME.md; docs/runtime/qb-input-editor.md; tools/ytname.py; tools/ytpresentation.py; tests/test_ytname.py; tests/test_ytpresentation.py; analysis/disassembly/ytname.static.txt; analysis/disassembly/ytpresentation.static.txt	src/qb.c::{qb_title_case_n,qb_compat_upper_n_observed,qb_compat_upper_n}; src/yt_input_model.c::yt_input_compat_upper_n_observed	tests/test_qb.c::test_strings; tests/test_input_model.c::test_repeat_transform	candidate	exact transform and successful procedure-static numeric state are pinned; add name-helper state/effects, movable-string allocation/error prefixes, caller frames and joined presentation failures
shared-pending-input-and-press-any-key-output	player	18	exact_component_oracle	YT-SUB2:[2580,25D2) paired-INKEY/local-and-serial drain and YT-SUB2:[25D5,2690) prompt, 33-second wait, endpoint-specific cleanup, ANSI/local state, input residue, TIMER/LOC arbitration, and bounded failure prefixes	docs/runtime/press-any-key-output.md; tools/ytpress_any_key_output.py; tests/test_ytpress_any_key_output.py; analysis/disassembly/ytpress-any-key-output.static.txt	src/yt_session.c::{session_drain_pending_input,session_press_any_key,session_timed_wait}; src/yt_input.c::{yt_input_poll_source,yt_input_poll_legacy}; src/yt_input_model.c::{yt_input_splitter_select_source,yt_input_drain_begin,yt_input_drain_local,yt_input_drain_serial,yt_timed_wait_begin,yt_timed_wait_timer,yt_timed_wait_input}; src/yt_presentation.c::{yt_present_press_prompt,yt_present_press_cleanup}; src/yt_output.c::present_local_locate	tests/test_input_model.c::{test_source_fifo,test_input_drain,test_timed_wait}; tests/test_presentation.c::test_press_any_key_presentation	candidate	exact successful paired-local/serial drain, residue replacement, mode gate, 33-second shared wait and prompt/cleanup presentation represented; add allocation/device/retry and joined failure prefixes plus physical cursor/framebuffer proof
